[SIGLA DA INSTALAÇÃO],[NOME DA INSTALAÇÃO],[CAMPOS],[BACIA],[OPERADOR],[CLASSIFICAÇÃO],[LÂMINA D'ÁGUA (m)],[SISTEMA DE ESCOAMENTO],[ANO DE INÍCIO DE OPERAÇÃO],[LATITUDE],[LONGITUDE],[CAPACIDADE DE PRODUÇÃO DE PETRÓLEO (bbl/d)],[CAPACIDADE DE PRODUÇÃO DE GÁS NATURAL (Mil m³/d)]
PEREGRINO 1,FPSO PEREGRINO,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Floating Production Storage Offloading - FPSO,98,Navio Aliviador,2011,-23.31725556,-41.25740278,18239,364
WHPC,PEREGRINO C,PEREGRINO / PITANGOLA,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,121,Duto,2021,-23.34819333,-41.40877444,,
FPSO BACALHAU,FPSO BACALHAU,BACALHAU / BACALHAU NORTE,SANTOS,EQUINOR BRASIL ENERGIA LTDA.,Floating Production Storage Offloading - FPSO,2100,Navio Aliviador,2025,-25.47606333,-43.93906806,220000,15000
FPMQT,FPSO MARIA QUITÉRIA,AnC_Jubarte_Nordeste / AnC_Jubarte_Sudoeste / ARGONAUTA / JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1385,Navio Aliviador e Duto,2024,-21.27003889,-39.99762222,100000,5000
FPAGA,FPSO ANITA GARIBALDI,ESPADIM / MARLIM / MARLIM SUL / VOADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,670,Navio Aliviador e Duto,2023,-22.39583639,-40.10831417,80000,6622
P-71,PETROBRAS 71,ITAPU / ITAPU_ECO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2010,Navio Aliviador,2023,-24.77717500,-42.72058333,150955,6000
FPSOATLANTA,FPSO ATLANTA,ATLANTA,SANTOS,ENAUTA ENERGIA S.A.,Floating Production Storage Offloading - FPSO,1550,Navio Aliviador,2024,-24.09909722,-41.88699167,50000,350
FPCCG,FPSO CIDADE DE CARAGUATATUBA - CCG (MV-27),LAPA,SANTOS,TOTALENERGIES EP BRASIL LTDA.,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2016,-25.51872556,-43.46654667,120764,4739
FCDA,FPSO CIDADE DE ANCHIETA,AnC_Jubarte_Nordeste / AnC_Jubarte_Sudoeste / ARGONAUTA / JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1221,Navio Aliviador,2012,-21.33756667,-40.05720278,100000,3500
FPGNB,FPSO GUANABARA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1930,Navio Aliviador,2021,-24.58365556,-42.25626667,190000,12000
FPMDC,FPSO MARECHAL DUQUE DE CAXIAS,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2070,Navio Aliviador,2024,-24.68622167,-42.29323194,200000,13500
FPADG,FPSO ALEXANDRE DE GUSMÃO,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1890,Navio Aliviador,2025,-24.55964917,-42.18826083,180000,12000
FPSTB,FPSO SEPETIBA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2000,Navio Aliviador,2023,-24.63081444,-42.26445806,190000,12000
FPPL,FPSO PIONEIRO DE LIBRA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2040,Navio Aliviador,2017,-24.54004972,-42.13184361,50318,4000
BRAVO,FPSO BRAVO,TUBARÃO MARTELO,CAMPOS,PRIO BRAVO LTDA.,Floating Production Storage Offloading - FPSO,105,Navio Aliviador,2013,-23.13582222,-41.07353056,100000,1500
FPCI,FPSO CIDADE DE ITAJAÍ,BAÚNA,SANTOS,KAROON PETRÓLEO E GÁS LTDA.,Floating Production Storage Offloading - FPSO,275,Navio Aliviador,2013,-26.46462444,-46.53012444,80000,2000
FPSO_CRC,FPSO CARIOCA,SÉPIA / SÉPIA LESTE / SÉPIA_ECO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2021,-25.22704306,-42.57025250,180000,6091
P-65,PLATAFORMA 65,BONITO / ENCHOVA,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Semissubmersível - SS,120,Duto,1966,-22.70183667,-40.67710639,33320,49
P-68,PETROBRAS 68,BERBIGÃO / SUL DE BERBIGÃO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2280,Navio Aliviador,2018,-25.02295278,-42.66778889,163000,6000
FPCGZ,FPSO CIDADE DE CAMPOS DOS GOYTACAZES,ESPADARTE / TARTARUGA VERDE / TARTARUGA VERDE SUDOESTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,765,Navio Aliviador,2018,-22.95337917,-40.72554611,150000,3300
PMNT,PLATAFORMA DE MANATI,MANATI,CAMAMU,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Jaqueta,35,Duto,2007,-13.48997389,-38.81231333,,6
PMXL-1,PLATAFORMA DE MEXILHÃO,MEXILHÃO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Jaqueta,172,Duto,2011,-24.35316389,-44.38281361,19554,150000
FRADE,FPSO FRADE,FRADE,CAMPOS,PETRO RIO JAGUAR PETRÓLEO SA.,Floating Production Storage Offloading - FPSO,0,Navio Aliviador,2009,-21.88333333,-39.85138889,100000,3
POLVO A,POLVO A,POLVO,CAMPOS,PRIO BRAVO LTDA.,Plataforma Fixa - Jaqueta,105,Duto,2007,-23.08381389,-40.99542917,,
P-58,PETROBRAS 58,AnC_Jubarte_Nordeste / AnC_Jubarte_Sudoeste / ARGONAUTA / BALEIA ANÃ / JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1399,Navio Aliviador,2014,-21.21508417,-39.99736472,180018,6000
P-77,PETROBRAS 77,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1980,Navio Aliviador,2019,-24.63649611,-42.41198972,169000,7000
FPTAM,FPSO ALMIRANTE TAMANDARE,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1985,Navio Aliviador,2025,-24.74358333,-42.51331944,225000,12000
P-76,PETROBRAS 76,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2025,Navio Aliviador,2018,-24.68898056,-42.50583056,169000,7000
P-75,PETROBRAS 75,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2015,Navio Aliviador,2018,-24.78901472,-42.50973611,169000,7000
FPBAR,FPSO ALMIRANTE BARROSO,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1900,Navio Aliviador,2023,-24.59253250,-42.56725167,173640,6291
P-74,PETROBRAS 74,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1950,Navio Aliviador,2018,-24.64806556,-42.51781444,154000,7000
3R-2,PLATAFORMA 3R-2,PAPA-TERRA,CAMPOS,3R PETROLEUM OFFSHORE S.A.,Tension Leg Platform - TLP,1185,Duto,2014,-23.51603889,-41.06129250,,
3R-3,PLATAFORMA 3R-3,PAPA-TERRA,CAMPOS,3R PETROLEUM OFFSHORE S.A.,Floating Production Storage Offloading - FPSO,1165,Navio Aliviador,2013,-23.51396333,-41.06461833,140000,1000
P-70,PETROBRAS 70,AnC_NORTE_ATAPU / ATAPU / ATAPU_ECO / OESTE DE ATAPU,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2288,Navio Aliviador,2020,-24.95207056,-42.46838000,161000,6000
PARB1,PLATAFORMA DE ARABAIANA 1,ARABAIANA,POTIGUAR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Caisson,30,Duto,2001,-4.69477028,-36.72455639,,
CVIX,FPSO CIDADE DE VITÓRIA,GOLFINHO,ESPÍRITO SANTO,BW ENERGY MAROMBA DO BRASIL LTDA,Floating Production Storage Offloading - FPSO,1386,Navio Aliviador,2007,-20.04277778,-39.52555556,100637,3500
FORTE,FPSO FORTE,ALBACORA / ALBACORA LESTE,CAMPOS,PETRO RIO JAGUAR PETRÓLEO SA.,Floating Production Storage Offloading - FPSO,1230,Navio Aliviador,2006,-22.08638778,-39.82799861,180000,6000
P-08,PLATAFORMA 08,MARIMBÁ,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Semissubmersível - SS,423,Duto,1993,-22.67308694,-40.54650556,,
P-48,PETROBRAS 48,BARRACUDA / CARATINGA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1032,Navio Aliviador,2005,-22.66388389,-40.24018889,150000,6000
P-43,PETROBRAS 43,BARRACUDA / CARATINGA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,800,Navio Aliviador,2004,-22.55011000,-40.25944889,174000,6000
3R-1,PLATAFORMA 3R-1,PEROÁ,ESPÍRITO SANTO,3R PETROLEUM OFFSHORE S.A.,Plataforma Fixa - Jaqueta,67,Duto,2006,-19.56278333,-39.25528333,,
PPG-1A,PLATAFORMA DE PARGO 1A,PARGO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,101,Duto,1988,-22.25555306,-40.32994917,30000,170
FPCIB,FPSO CIDADE DE ILHABELA,NORDESTE DE SAPINHOÁ / NOROESTE DE SAPINHOÁ / SAPINHOÁ / SUDOESTE DE SAPINHOÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2014,-25.67280556,-43.20619167,150000,6000
PEREGRINO A,PEREGRINO A,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,105,Duto,2011,-23.33383889,-41.29797222,,
PEREGRINO B,PEREGRINO B,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,121,Duto,2011,-23.29541667,-41.20739167,,
P-53,PETROBRAS 53,MARLIM LESTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1068,Duto,2008,-22.42401667,-39.95766667,180000,6000
P-40,PETROBRAS 40,MARLIM / MARLIM LESTE / MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1080,Duto,2001,-22.54742194,-40.06744306,202846,6000
FPCSP,FPSO CIDADE DE SÃO PAULO,NORDESTE DE SAPINHOÁ / NOROESTE DE SAPINHOÁ / SAPINHOÁ / SUDOESTE DE SAPINHOÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2013,-25.79933417,-43.26283917,120000,5000
PPE02,PLATAFORMA DE PESCADA 2,PESCADA,POTIGUAR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Caisson,17,Duto,1999,-4.71841806,-36.83579444,,
PPE1B,PLATAFORMA DE PESCADA 1B,PESCADA,POTIGUAR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Caisson,17,Duto,1998,-4.70450833,-36.82563500,,
P-69,PETROBRAS 69,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2170,Navio Aliviador,2018,-25.65792889,-42.85944306,173000,6000
P-66,PETROBRAS 66,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2150,Navio Aliviador,2017,-25.60281861,-42.82065750,150955,6000
FPCSQ,FPSO CIDADE DE SAQUAREMA,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2016,-25.49126750,-42.78126306,150000,6000
FPCMC,FPSO CIDADE DE MARICÁ,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2016,-25.44884861,-42.75307194,150000,6000
P-67,PETROBRAS 67,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2130,Navio Aliviador,2018,-25.32987139,-42.69265750,150950,6000
FPCAR,FPSO CIDADE DE ANGRA DOS REIS,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2010,-25.54481667,-42.84021389,100637,5000
FPCP,FPSO CIDADE DE PARATY,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2012,-25.39437222,-42.76180278,120139,5000
PPM-1,PLATAFORMA DE PAMPO 1,LINGUADO / PAMPO,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,115,Duto,1984,-22.79800750,-40.76254444,14300,144
FPSO ESP SANTO,FPSO ESPIRITO SANTO,ABALONE / ARGONAUTA / OSTRA,CAMPOS,SHELL BRASIL PETRÓLEO LTDA.,Floating Production Storage Offloading - FPSO,1780,Navio Aliviador,2009,-21.20857056,-39.74271472,100000,177
PGP-1,PLATAFORMA DE GAROUPA,GAROUPA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Jaqueta,120,Duto,1984,-22.37477944,-40.41745500,57080,3000
P-57,PETROBRAS 57,JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1258,Navio Aliviador,2010,-21.24001111,-40.04807778,180000,2000
PCP-III,PLATAFORMA DE CARAPEBA 3,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,86,Duto,1994,-22.24496611,-40.44234222,,
PCP-I,PLATAFORMA DE CARAPEBA 1,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,86,Duto,1988,-22.24508639,-40.44303222,,
PCP-II,PLATAFORMA DE CARAPEBA 2,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,87,Duto,1988,-22.23357944,-40.41524500,,
PCE-1,PLATAFORMA DE ENCHOVA,BONITO / ENCHOVA / ENCHOVA OESTE,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,116,Duto,1983,-22.70836167,-40.69321500,98121,3895
P-54,PETROBRAS 54,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1400,Navio Aliviador,2007,-21.96911389,-39.82530278,190000,4000
P-55,PETROBRAS 55,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1795,Duto,2014,-21.99321972,-39.73953889,180000,4000
P-62,PETROBRAS 62,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1580,Navio Aliviador,2014,-21.94083333,-39.78611111,180000,6000
PVM-1,PLATAFORMA DE VERMELHO 1,VERMELHO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,80,Duto,1989,-22.16066028,-40.27871750,,
PVM-3,PLATAFORMA DE VERMELHO 3,VERMELHO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,82,Duto,1989,-22.18970500,-40.30321833,,
FPCIG,FPSO CIDADE DE ITAGUAÍ,TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2240,Navio Aliviador,2015,-25.14156917,-42.94469694,150955,8000
FPCMB,FPSO CIDADE DE MANGARATIBA,TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2200,Navio Aliviador,2014,-25.20407778,-42.87856389,150955,8000
P-51,PETROBRAS 51,MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1260,Duto,2009,-22.63440278,-40.09363722,180000,6000
P-56,PETROBRAS 56,MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1645,Duto,2011,-22.62404167,-39.98948333,141000,6000
FPANE,FPSO ANNA NERY,MARLIM / MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,927,Navio Aliviador e Duto,2023,-22.46391639,-40.05731667,70000,3792
