Tipo Atividade;Ano;Investimento R$;Investimento US$
Abandono Permanente;2022;2112261928,5;403995450,0
Coleta - linhas - lançamento (inclui risers);2022;8485430299,0;1825589330,0
Coleta - manifold - instalação;2022;408269942,7;134760730,0
Coleta - sistema de processamento submarino - instalação;2022;17325009,6;107099500,0
Completação para injeção;2022;1418708014,8;274162130,0
Completação para outros fins;2022;203483993,6;39437940,0
Completação para produção;2022;2852449384,6;580611150,0
Descomissionamento - Arrasamento de poço;2022;3581875,6;679880,0
Descomissionamento - desmobilização UEP;2022;390619573,6;75216460,0
Descomissionamento - remoção de linhas;2022;546062122,4;104310140,0
Elevação Artificial - sistema submarino;2022;682306,8;47205430,0
Escoamento - compressor - instalação;2022;178303622,6;34005280,0
Escoamento - gasoduto - lançamento;2022;341083039,8;65334180,0
Escoamento - oleoduto - lançamento;2022;167234182,5;31854130,0
Levantamento de Sísmica 2D - Aquisição;2022;38391637,8;7056900,0
Levantamento de Sísmica 3D - Aquisição;2022;963432344,8;186484070,0
Mudança de método de elevação artificial - poço;2022;858962748,1;163499930,0
Perfuração - exploratório;2022;411108119,2;79687620,0
Perfuração - injetor;2022;2735460020,8;528945880,0
Perfuração - outro;2022;205306240,0;42681250,0
Perfuração - produtor;2022;5273277920,4;1248289630,0
Recompletação para injeção;2022;1213121989,6;223196890,0
Recompletação para outros fins;2022;23047667,1;4282020,0
Recompletação para produção;2022;878423134,6;168372140,0
Recuperação Ambiental;2022;26381498,3;5112810,0
Remoção de instalações associadas à Unidades Produção Terrestres;2022;5727,6;1110,0
Remoção dos Demais Equipamentos do Sistema Submarino;2022;5610000,0;1100000,0
Teste de Formação - poço exploratório;2022;145238004,0;28146900,0
Teste de Formação - poço explotatório;2022;1045780,9;203430,0
Teste de Injetividade - poço exploratório;2022;0,0;0,0
Teste de Longa Duração - TLD;2022;0,0;0,0
UEP - alteração/ampliação/melhorias;2022;1944261593,4;408964210,0
UEP - construção;2022;3848197733,5;1794361980,0
UEP - instalação;2022;2021810360,1;391297780,0
Abandono Permanente;2023;3329980535,2;653054060,0
Coleta - linhas - lançamento (inclui risers);2023;13531330072,5;3003467470,0
Coleta - manifold - instalação;2023;1038588393,4;304722900,0
Coleta - sistema de processamento submarino - instalação;2023;97620000,0;87204290,0
Completação para injeção;2023;2843713870,0;607701390,0
Completação para outros fins;2023;54946650,0;10989330,0
Completação para produção;2023;3737660660,0;944233370,0
Descomissionamento - Arrasamento de poço;2023;36608360,7;7483490,0
Descomissionamento - desmobilização UEP;2023;272752441,4;55201270,0
Descomissionamento - remoção de linhas;2023;1969550984,2;393119740,0
Elevação Artificial - sistema submarino;2023;0,0;38968330,0
Escoamento - compressor - instalação;2023;7063206,6;1347670,0
Escoamento - gasoduto - lançamento;2023;945145280,0;186888160,0
Escoamento - oleoduto - lançamento;2023;69564545,6;13275680,0
Levantamento de Sísmica 2D - Aquisição;2023;0,0;0,0
Levantamento de Sísmica 3D - Aquisição;2023;1434619600,0;286923920,0
Mudança de método de elevação artificial - poço;2023;156668335,3;29755820,0
Perfuração - exploratório;2023;7093750,0;1418750,0
Perfuração - injetor;2023;4456270830,0;963384670,0
Perfuração - outro;2023;365728363,6;190913870,0
Perfuração - produtor;2023;5364742185,5;1257964840,0
Recompletação para injeção;2023;153167427,4;30082850,0
Recompletação para outros fins;2023;299661700,0;57861840,0
Recompletação para produção;2023;1592410696,5;306570410,0
Recuperação Ambiental;2023;83391365,0;16714890,0
Remoção de instalações associadas à Unidades Produção Terrestres;2023;0,0;0,0
Remoção dos Demais Equipamentos do Sistema Submarino;2023;27422739,6;5618860,0
Teste de Formação - poço exploratório;2023;4933536,6;990670,0
Teste de Formação - poço explotatório;2023;12512748,0;2512600,0
Teste de Injetividade - poço exploratório;2023;0,0;0,0
Teste de Longa Duração - TLD;2023;0,0;0,0
UEP - alteração/ampliação/melhorias;2023;2917141795,2;640012190,0
UEP - construção;2023;11812803652,2;2807276930,0
UEP - instalação;2023;1049691728,0;209145980,0
Abandono Permanente;2024;3981098596,6;823722540,0
Coleta - linhas - lançamento (inclui risers);2024;13817179031,9;2624139960,0
Coleta - manifold - instalação;2024;1472378345,9;296971720,0
Coleta - sistema de processamento submarino - instalação;2024;255553138,7;71484210,0
Completação para injeção;2024;2574413221,6;526194870,0
Completação para outros fins;2024;56297616,7;9094930,0
Completação para produção;2024;6297198188,4;1287022320,0
Descomissionamento - Arrasamento de poço;2024;64124394,1;11895370,0
Descomissionamento - desmobilização UEP;2024;745261772,7;140184570,0
Descomissionamento - remoção de linhas;2024;2869837124,7;535441530,0
Elevação Artificial - sistema submarino;2024;266724640,0;53690790,0
Escoamento - compressor - instalação;2024;18919050,0;3783810,0
Escoamento - gasoduto - lançamento;2024;936994352,9;172979250,0
Escoamento - oleoduto - lançamento;2024;10960740,6;2180250,0
Levantamento de Sísmica 2D - Aquisição;2024;0,0;0,0
Levantamento de Sísmica 3D - Aquisição;2024;1007561847,5;186932590,0
Mudança de método de elevação artificial - poço;2024;110008047,6;20652110,0
Perfuração - exploratório;2024;995476420,4;184682360,0
Perfuração - injetor;2024;3943390517,8;749667210,0
Perfuração - outro;2024;424778656,5;72991350,0
Perfuração - produtor;2024;8574232252,0;1771014570,0
Recompletação para injeção;2024;261064019,6;49374160,0
Recompletação para outros fins;2024;75730996,7;14055250,0
Recompletação para produção;2024;1653996815,6;308113680,0
Recuperação Ambiental;2024;24380019,6;4520640,0
Remoção de instalações associadas à Unidades Produção Terrestres;2024;11979,0;1980,0
Remoção dos Demais Equipamentos do Sistema Submarino;2024;18328786,4;3497860,0
Teste de Formação - poço exploratório;2024;577881654,9;107194150,0
Teste de Formação - poço explotatório;2024;356354630,7;57743630,0
Teste de Injetividade - poço exploratório;2024;0,0;0,0
Teste de Longa Duração - TLD;2024;352250,0;24001890,0
UEP - alteração/ampliação/melhorias;2024;5287708161,4;993037520,0
UEP - construção;2024;35909676063,0;6686130220,0
UEP - instalação;2024;1486992632,8;277600330,0
